省份名,日期,确诊病例,死亡病例,康复病例
安徽,1/22/20,1,0,0
安徽,1/23/20,9,0,0
安徽,1/24/20,15,0,0
安徽,1/25/20,39,0,0
安徽,1/26/20,60,0,0
安徽,1/27/20,70,0,0
安徽,1/28/20,106,0,0
安徽,1/29/20,152,0,2
安徽,1/30/20,200,0,2
安徽,1/31/20,237,0,3
安徽,2/1/20,297,0,5
安徽,2/2/20,340,0,7
安徽,2/3/20,408,0,14
安徽,2/4/20,480,0,20
安徽,2/5/20,530,0,23
安徽,2/6/20,591,0,34
安徽,2/7/20,665,0,47
安徽,2/8/20,733,0,59
安徽,2/9/20,779,1,72
安徽,2/10/20,830,3,88
安徽,2/11/20,860,4,105
安徽,2/12/20,889,4,127
安徽,2/13/20,910,5,157
安徽,2/14/20,934,6,193
安徽,2/15/20,950,6,221
安徽,2/16/20,962,6,255
安徽,2/17/20,973,6,280
安徽,2/18/20,982,6,361
安徽,2/19/20,986,6,413
安徽,2/20/20,987,6,474
安徽,2/21/20,988,6,539
安徽,2/22/20,989,6,597
安徽,2/23/20,989,6,637
安徽,2/24/20,989,6,663
安徽,2/25/20,989,6,712
安徽,2/26/20,989,6,744
安徽,2/27/20,989,6,792
安徽,2/28/20,990,6,821
安徽,2/29/20,990,6,868
安徽,3/1/20,990,6,873
安徽,3/2/20,990,6,917
安徽,3/3/20,990,6,936
安徽,3/4/20,990,6,956
安徽,3/5/20,990,6,970
安徽,3/6/20,990,6,979
安徽,3/7/20,990,6,979
安徽,3/8/20,990,6,984
安徽,3/9/20,990,6,984
安徽,3/10/20,990,6,984
安徽,3/11/20,990,6,984
安徽,3/12/20,990,6,984
安徽,3/13/20,990,6,984
安徽,3/14/20,990,6,984
安徽,3/15/20,990,6,984
安徽,3/16/20,990,6,984
安徽,3/17/20,990,6,984
安徽,3/18/20,990,6,984
安徽,3/19/20,990,6,984
安徽,3/20/20,990,6,984
安徽,3/21/20,990,6,984
安徽,3/22/20,990,6,984
安徽,3/23/20,990,6,984
安徽,3/24/20,990,6,984
安徽,3/25/20,990,6,984
安徽,3/26/20,990,6,984
安徽,3/27/20,990,6,984
安徽,3/28/20,990,6,984
安徽,3/29/20,990,6,984
安徽,3/30/20,990,6,984
安徽,3/31/20,990,6,984
安徽,4/1/20,990,6,984
安徽,4/2/20,990,6,984
安徽,4/3/20,990,6,984
安徽,4/4/20,990,6,984
安徽,4/5/20,990,6,984
安徽,4/6/20,990,6,984
安徽,4/7/20,990,6,984
安徽,4/8/20,990,6,984
安徽,4/9/20,991,6,984
安徽,4/10/20,991,6,984
安徽,4/11/20,991,6,984
安徽,4/12/20,991,6,984
安徽,4/13/20,991,6,984
安徽,4/14/20,991,6,984
安徽,4/15/20,991,6,984
安徽,4/16/20,991,6,984
安徽,4/17/20,991,6,984
安徽,4/18/20,991,6,984
安徽,4/19/20,991,6,984
安徽,4/20/20,991,6,984
安徽,4/21/20,991,6,984
安徽,4/22/20,991,6,984
安徽,4/23/20,991,6,984
安徽,4/24/20,991,6,985
安徽,4/25/20,991,6,985
安徽,4/26/20,991,6,985
安徽,4/27/20,991,6,985
安徽,4/28/20,991,6,985
安徽,4/29/20,991,6,985
安徽,4/30/20,991,6,985
安徽,5/1/20,991,6,985
安徽,5/2/20,991,6,985
安徽,5/3/20,991,6,985
安徽,5/4/20,991,6,985
安徽,5/5/20,991,6,985
安徽,5/6/20,991,6,985
安徽,5/7/20,991,6,985
安徽,5/8/20,991,6,985
安徽,5/9/20,991,6,985
安徽,5/10/20,991,6,985
安徽,5/11/20,991,6,985
安徽,5/12/20,991,6,985
安徽,5/13/20,991,6,985
安徽,5/14/20,991,6,985
安徽,5/15/20,991,6,985
安徽,5/16/20,991,6,985
安徽,5/17/20,991,6,985
安徽,5/18/20,991,6,985
安徽,5/19/20,991,6,985
安徽,5/20/20,991,6,985
安徽,5/21/20,991,6,985
安徽,5/22/20,991,6,985
安徽,5/23/20,991,6,985
安徽,5/24/20,991,6,985
安徽,5/25/20,991,6,985
安徽,5/26/20,991,6,985
安徽,5/27/20,991,6,985
安徽,5/28/20,991,6,985
安徽,5/29/20,991,6,985
安徽,5/30/20,991,6,985
安徽,5/31/20,991,6,985
安徽,6/1/20,991,6,985
安徽,6/2/20,991,6,985
安徽,6/3/20,991,6,985
安徽,6/4/20,991,6,985
安徽,6/5/20,991,6,985
安徽,6/6/20,991,6,985
安徽,6/7/20,991,6,985
安徽,6/8/20,991,6,985
安徽,6/9/20,991,6,985
安徽,6/10/20,991,6,985
安徽,6/11/20,991,6,985
安徽,6/12/20,991,6,985
安徽,6/13/20,991,6,985
安徽,6/14/20,991,6,985
安徽,6/15/20,991,6,985
安徽,6/16/20,991,6,985
安徽,6/17/20,991,6,985
安徽,6/18/20,991,6,985
安徽,6/19/20,991,6,985
安徽,6/20/20,991,6,985
安徽,6/21/20,991,6,985
安徽,6/22/20,991,6,985
安徽,6/23/20,991,6,985
安徽,6/24/20,991,6,985
安徽,6/25/20,991,6,985
安徽,6/26/20,991,6,985
安徽,6/27/20,991,6,985
安徽,6/28/20,991,6,985
安徽,6/29/20,991,6,985
安徽,6/30/20,991,6,985
安徽,7/1/20,991,6,985
安徽,7/2/20,991,6,985
安徽,7/3/20,991,6,985
安徽,7/4/20,991,6,985
安徽,7/5/20,991,6,985
安徽,7/6/20,991,6,985
安徽,7/7/20,991,6,985
安徽,7/8/20,991,6,985
安徽,7/9/20,991,6,985
安徽,7/10/20,991,6,985
安徽,7/11/20,991,6,985
安徽,7/12/20,991,6,985
安徽,7/13/20,991,6,985
安徽,7/14/20,991,6,985
安徽,7/15/20,991,6,985
安徽,7/16/20,991,6,985
安徽,7/17/20,991,6,985
安徽,7/18/20,991,6,985
安徽,7/19/20,991,6,985
安徽,7/20/20,991,6,985
安徽,7/21/20,991,6,985
安徽,7/22/20,991,6,985
安徽,7/23/20,991,6,985
安徽,7/24/20,991,6,985
安徽,7/25/20,991,6,985
安徽,7/26/20,991,6,985
安徽,7/27/20,991,6,985
安徽,7/28/20,991,6,985
安徽,7/29/20,991,6,985
安徽,7/30/20,991,6,985
安徽,7/31/20,991,6,985
安徽,8/1/20,991,6,985
安徽,8/2/20,991,6,985
安徽,8/3/20,991,6,985
安徽,8/4/20,991,6,985
安徽,8/5/20,991,6,985
安徽,8/6/20,991,6,985
安徽,8/7/20,991,6,985
安徽,8/8/20,991,6,985
安徽,8/9/20,991,6,985
安徽,8/10/20,991,6,985
安徽,8/11/20,991,6,985
安徽,8/12/20,991,6,985
安徽,8/13/20,991,6,985
安徽,8/14/20,991,6,985
安徽,8/15/20,991,6,985
安徽,8/16/20,991,6,985
安徽,8/17/20,991,6,985
安徽,8/18/20,991,6,985
安徽,8/19/20,991,6,985
安徽,8/20/20,991,6,985
安徽,8/21/20,991,6,985
安徽,8/22/20,991,6,985
安徽,8/23/20,991,6,985
安徽,8/24/20,991,6,985
安徽,8/25/20,991,6,985
安徽,8/26/20,991,6,985
安徽,8/27/20,991,6,985
安徽,8/28/20,991,6,985
安徽,8/29/20,991,6,985
安徽,8/30/20,991,6,985
安徽,8/31/20,991,6,985
安徽,9/1/20,991,6,985
安徽,9/2/20,991,6,985
安徽,9/3/20,991,6,985
安徽,9/4/20,991,6,985
安徽,9/5/20,991,6,985
安徽,9/6/20,991,6,985
安徽,9/7/20,991,6,985
安徽,9/8/20,991,6,985
安徽,9/9/20,991,6,985
安徽,9/10/20,991,6,985
安徽,9/11/20,991,6,985
安徽,9/12/20,991,6,985
安徽,9/13/20,991,6,985
安徽,9/14/20,991,6,985
安徽,9/15/20,991,6,985
安徽,9/16/20,991,6,985
安徽,9/17/20,991,6,985
安徽,9/18/20,991,6,985
安徽,9/19/20,991,6,985
安徽,9/20/20,991,6,985
安徽,9/21/20,991,6,985
安徽,9/22/20,991,6,985
安徽,9/23/20,991,6,985
安徽,9/24/20,991,6,985
安徽,9/25/20,991,6,985
安徽,9/26/20,991,6,985
安徽,9/27/20,991,6,985
