额外信息,国家名,id,最新更新时间,今日确诊,今日疑似,今日治愈,今日死亡,今日危重,今日待确诊,今日境外输入,总确诊数,总疑似数,总治愈数,总死亡数,总危重数,总境外输入数
{},突尼斯,9577772,2020-12-13 08:34:29,1289.0,,1056.0,35.0,,,,110393.0,0.0,84218.0,3836.0,0.0,0.0
{},塞尔维亚,9507896,2020-12-13 08:34:29,5679.0,,0.0,0.0,,,,261437.0,0.0,15913.0,2275.0,0.0,0.0
"{'noSymptom': 195, 'incrNoSymptom': 14}",中国,0,2020-12-13 08:34:31,101.0,,135.0,1.0,,-35.0,19.0,94950.0,0.0,88546.0,4756.0,0.0,4021.0
{},日本本土,1,2020-12-13 08:34:29,3037.0,,0.0,0.0,,,,178207.0,0.0,147368.0,2462.0,0.0,0.0
{},泰国,2,2020-12-13 08:34:29,12.0,,0.0,0.0,,,,4192.0,0.0,3915.0,60.0,0.0,0.0
{},新加坡,3,2020-12-13 08:34:30,8.0,,5.0,0.0,,,,58313.0,0.0,58197.0,29.0,0.0,0.0
{},韩国,4,2020-12-13 08:34:29,950.0,,0.0,0.0,,,,41736.0,0.0,31493.0,578.0,0.0,0.0
{},澳大利亚,5,2020-12-13 09:14:26,4.0,,3.0,0.0,,,,28029.0,0.0,25674.0,908.0,0.0,0.0
{},德国,6,2020-12-13 08:34:29,6279.0,,306.0,31.0,,,,1320588.0,0.0,966544.0,21651.0,0.0,0.0
{},美国,7,2020-12-13 08:34:29,188321.0,,116929.0,2108.0,,,,16513807.0,0.0,9624348.0,304858.0,0.0,0.0
{},马来西亚,8,2020-12-13 08:34:29,1937.0,,0.0,0.0,,,,82246.0,0.0,68084.0,411.0,0.0,0.0
{},越南,9,2020-12-13 08:34:29,4.0,,0.0,0.0,,,,1395.0,0.0,1238.0,35.0,0.0,0.0
{},圣巴泰勒米,89566,2020-06-12 17:03:12,,,,,,,,6.0,0.0,6.0,0.0,0.0,
{},肯尼亚,821,2020-12-13 08:34:29,548.0,,1017.0,4.0,,,,91526.0,0.0,72596.0,1586.0,0.0,0.0
{},伊朗,826,2020-12-13 08:34:29,8411.0,,0.0,0.0,,,,1100818.0,0.0,800853.0,51949.0,0.0,0.0
{},以色列,827,2020-12-13 08:34:29,2517.0,,1343.0,14.0,,,,355786.0,0.0,335243.0,2983.0,0.0,0.0
{},毛利亚尼亚,828,2020-06-09 19:59:04,,,,,,,,16.0,0.0,6.0,2.0,0.0,
{},黎巴嫩,829,2020-12-13 08:34:29,1540.0,,937.0,8.0,,,,145245.0,0.0,98584.0,1190.0,0.0,0.0
{},克罗地亚,833,2020-12-13 08:34:29,4135.0,,0.0,0.0,,,,172523.0,0.0,144691.0,2562.0,0.0,0.0
{},奥地利,834,2020-12-13 08:34:29,3241.0,,0.0,0.0,,,,319822.0,0.0,277883.0,4415.0,0.0,0.0
{},瑞士,835,2020-12-13 08:34:29,0.0,,0.0,0.0,,,,373831.0,0.0,291500.0,5970.0,0.0,0.0
{},希腊,839,2020-12-13 08:34:29,1194.0,,0.0,68.0,,,,123842.0,0.0,23074.0,3540.0,0.0,0.0
{},毛里求斯,95800,2020-12-13 08:34:29,0.0,,0.0,0.0,,,,515.0,0.0,478.0,10.0,0.0,0.0
{},爱沙尼亚,845,2020-12-13 08:34:30,757.0,,0.0,0.0,,,,17713.0,0.0,10626.0,148.0,0.0,0.0
{},北马其顿,846,2020-12-13 08:34:29,981.0,,556.0,19.0,,,,73025.0,0.0,48726.0,2096.0,0.0,0.0
{},白俄罗斯,850,2020-12-13 08:34:29,1975.0,,0.0,0.0,,,,158334.0,0.0,135922.0,1254.0,0.0,0.0
{},立陶宛,851,2020-12-13 08:34:29,3303.0,,0.0,0.0,,,,90252.0,0.0,38768.0,791.0,0.0,0.0
{},阿塞拜疆,852,2020-12-13 08:34:30,4268.0,,0.0,0.0,,,,171423.0,0.0,107635.0,1883.0,0.0,0.0
{},美属维尔京群岛,875097,2020-06-12 17:06:26,,,,,,,,72.0,0.0,46.0,6.0,0.0,
{},蒙古,95826,2020-06-15 13:26:49,,,,,,,,197.0,0.0,98.0,0.0,0.0,
{},乌克兰,872,2020-12-13 08:34:30,13219.0,,0.0,0.0,,,,908839.0,0.0,513249.0,15528.0,0.0,0.0
{},波兰,874,2020-12-13 08:34:29,11499.0,,0.0,0.0,,,,1126700.0,0.0,840541.0,22676.0,0.0,0.0
{},波黑,879,2020-12-13 08:34:29,763.0,,1556.0,48.0,,,,100306.0,0.0,65289.0,3298.0,0.0,0.0
{},蒙特塞拉特,80902,2020-06-12 17:02:32,,,,,,,,11.0,0.0,10.0,1.0,0.0,
{},南非,880,2020-12-13 08:34:29,7882.0,,1745.0,154.0,,,,852965.0,0.0,760118.0,23106.0,0.0,0.0
{},布隆迪,95198,2020-06-15 14:48:50,,,,,,,,85.0,0.0,45.0,1.0,0.0,
{},南苏丹,95215522,2020-06-15 07:27:53,0.0,0.0,0.0,0.0,0.0,,0.0,1755.0,0.0,58.0,30.0,0.0,0.0
{},马耳他,893,2020-12-13 08:34:29,121.0,,0.0,0.0,,,,11101.0,0.0,9079.0,166.0,0.0,0.0
{},摩尔多瓦,896,2020-12-13 08:34:29,1459.0,,1262.0,26.0,,,,125723.0,0.0,107733.0,2547.0,0.0,0.0
{},保加利亚,897,2020-12-13 08:34:29,1287.0,,2235.0,64.0,,,,178952.0,0.0,81757.0,5626.0,0.0,0.0
{},孟加拉,898,2020-12-13 08:34:29,1329.0,,0.0,0.0,,,,489178.0,0.0,417503.0,7020.0,0.0,0.0
{},阿尔巴尼亚,899,2020-06-15 10:20:56,,0.0,,,0.0,,,1521.0,0.0,1044.0,36.0,0.0,
{},巴勒斯坦,950000,2020-12-13 08:34:29,1477.0,,0.0,0.0,,,,108099.0,0.0,83123.0,961.0,0.0,0.0
{},科摩罗,95kml,2020-06-15 13:47:09,,,,,,,,176.0,0.0,114.0,2.0,0.0,
{},阿富汗,953333,2020-12-13 08:34:29,113.0,,0.0,0.0,,,,48229.0,0.0,38200.0,1956.0,0.0,0.0
{},沙特阿拉伯,95888822,2020-12-13 08:34:29,166.0,,0.0,0.0,,,,359749.0,0.0,350347.0,6036.0,0.0,0.0
{},新西兰,9511123,2020-12-13 08:34:29,0.0,,0.0,0.0,,,,2092.0,0.0,2010.0,25.0,0.0,0.0
{},塔吉克斯坦,95333,2020-12-13 08:34:30,36.0,,0.0,0.0,,,,12624.0,0.0,12050.0,89.0,0.0,0.0
{},泽西岛,83356,2020-06-15 13:25:33,,,,,,,,313.0,0.0,292.0,15.0,0.0,0.0
{},叙利亚,954467,2020-06-15 13:51:09,,0.0,,,0.0,,,177.0,0.0,74.0,6.0,0.0,
{},巴拿马,95327,2020-12-13 09:14:26,2806.0,,1571.0,22.0,,,,190585.0,0.0,160641.0,3331.0,0.0,0.0
{},古巴,95329,2020-12-13 08:34:29,87.0,,81.0,1.0,,,,9354.0,0.0,8371.0,137.0,0.0,0.0
{},尼日利亚,9511111,2020-12-13 08:34:29,617.0,,128.0,4.0,,,,72757.0,0.0,65850.0,1194.0,0.0,0.0
{},摩洛哥,95858585,2020-12-13 08:34:29,3033.0,,3277.0,47.0,,,,397597.0,0.0,353098.0,6589.0,0.0,0.0
{},塞内加尔,9500222,2020-12-13 08:34:30,168.0,,0.0,0.0,,,,17061.0,0.0,16059.0,349.0,0.0,0.0
{},老挝,95118,2020-06-15 14:24:59,,,,,,,,19.0,0.0,19.0,0.0,0.0,
{},巴哈马,95350,2020-12-13 08:34:29,25.0,,0.0,0.0,,,,7648.0,0.0,6043.0,163.0,0.0,0.0
{},马约特岛,84226,2020-06-15 10:14:23,,,,,,,,2282.0,0.0,1790.0,28.0,0.0,0.0
{},斯洛文尼亚,954444,2020-12-13 08:34:29,1747.0,,0.0,0.0,,,,95481.0,0.0,72290.0,2041.0,0.0,0.0
{},卢森堡,95103,2020-12-13 08:34:29,718.0,,0.0,0.0,,,,40755.0,0.0,31678.0,392.0,0.0,0.0
{},爱尔兰,95106,2020-12-13 08:34:29,249.0,,0.0,3.0,,,,75756.0,0.0,23364.0,2123.0,0.0,0.0
{},厄瓜多尔,95102,2020-12-13 08:34:29,759.0,,0.0,16.0,,,,201524.0,0.0,174188.0,13874.0,0.0,0.0
{},捷克,957777,2020-12-13 08:34:29,6217.0,,0.0,0.0,,,,575422.0,0.0,503017.0,9450.0,0.0,0.0
{},匈牙利,9522222,2020-12-13 08:34:29,5047.0,,0.0,0.0,,,,276247.0,0.0,79769.0,6784.0,0.0,0.0
{},法属圭亚那,8101,2020-06-15 10:57:56,0.0,0.0,0.0,0.0,0.0,,0.0,1255.0,0.0,534.0,3.0,0.0,0.0
{},多哥共和国,8102,2020-06-15 11:45:39,,,,,,,,530.0,0.0,291.0,13.0,0.0,0.0
{},哥斯达黎加,8100,2020-12-13 08:34:29,1132.0,,0.0,0.0,,,,150947.0,0.0,112622.0,1895.0,0.0,0.0
{},文莱,8105,2020-12-13 08:34:29,0.0,,0.0,0.0,,,,152.0,0.0,147.0,3.0,0.0,0.0
{},法罗群岛,8103,2020-06-15 13:46:38,,,,,,,,187.0,0.0,187.0,0.0,0.0,0.0
{},马提尼克岛,8104,2020-12-13 08:34:29,5.0,,0.0,0.0,,,,37.0,0.0,0.0,1.0,0.0,0.0
{},荷兰,95120,2020-12-13 08:34:29,13.0,,11.0,0.0,,,,613548.0,0.0,7763.0,10104.0,0.0,0.0
