日期,确诊病例,预测病例,国家名
12/14/20,48718.0,48751.40495137069,阿富汗
12/15/20,48952.0,48937.033303861186,阿富汗
12/16/20,49161.0,49132.379807532416,阿富汗
12/17/20,49378.0,49332.33773835713,阿富汗
12/18/20,49621.0,49532.547514820755,阿富汗
12/19/20,49681.0,49729.396697921366,阿富汗
12/20/20,49817.0,49920.01999116969,阿富汗
12/21/20,50013.0,50102.29924058912,阿富汗
12/22/20,50190.0,50274.863434715706,阿富汗
12/23/20,50433.0,50437.08870459815,阿富汗
12/24/20,50655.0,50589.09832379781,阿富汗
12/25/20,50810.0,50731.76270838871,阿富汗
12/26/20,50886.0,50866.69941695753,阿富汗
12/27/20,51039.0,50996.27315060359,阿富汗
12/28/20,51280.0,51123.5957529389,阿富汗
12/29/20,51350.0,51252.526210088094,阿富汗
12/30/20,51405.0,51387.67065068848,阿富汗
12/31/20,51526.0,51534.38234589002,阿富汗
1/1/21,51526.0,51698.76170935535,阿富汗
1/2/21,51526.0,51887.656297259724,阿富汗
1/3/21,51526.0,52108.6608082911,阿富汗
1/4/21,53011.0,52370.117083650046,阿富汗
1/5/21,53105.0,52681.11410704983,阿富汗
1/6/21,53105.0,53051.48800471635,阿富汗
1/7/21,53207.0,53491.82204538817,阿富汗
1/8/21,53332.0,54013.44664031653,阿富汗
1/9/21,53400.0,54628.43934326528,阿富汗
1/10/21,53489.0,55349.62485051097,阿富汗
1/11/21,53538.0,56190.5750008428,阿富汗
1/12/21,53584.0,57165.608775562614,阿富汗
01/13/21,,58289.79229848492,阿富汗
01/14/21,,59578.93883593688,阿富汗
01/15/21,,61049.60879675833,阿富汗
01/16/21,,62719.10973230173,阿富汗
01/17/21,,64605.49633643223,阿富汗
01/18/21,,66727.57044552764,阿富汗
01/19/21,,69104.88103847837,阿富汗
12/14/20,49191.0,49275.86984969765,阿尔巴尼亚
12/15/20,50000.0,49994.607368118435,阿尔巴尼亚
12/16/20,50637.0,50666.754248524456,阿尔巴尼亚
12/17/20,51424.0,51297.03570569771,阿尔巴尼亚
12/18/20,52004.0,51890.018183456,阿尔巴尼亚
12/19/20,52542.0,52450.109354652974,阿尔巴尼亚
12/20/20,53003.0,52981.55812117808,阿尔巴尼亚
12/21/20,53425.0,53488.45461395658,阿尔巴尼亚
12/22/20,53814.0,53974.73019294957,阿尔巴尼亚
12/23/20,54317.0,54444.157447153964,阿尔巴尼亚
12/24/20,54827.0,54900.35019460247,阿尔巴尼亚
12/25/20,55380.0,55346.76348236365,阿尔巴尼亚
12/26/20,55755.0,55786.69358654184,阿尔巴尼亚
12/27/20,56254.0,56223.278012277246,阿尔巴尼亚
12/28/20,56572.0,56659.49549374585,阿尔巴尼亚
12/29/20,57146.0,57098.165994159484,阿尔巴尼亚
12/30/20,57727.0,57541.95070576576,阿尔巴尼亚
12/31/20,58316.0,57993.35204984815,阿尔巴尼亚
1/1/21,58316.0,58454.71367672592,阿尔巴尼亚
1/2/21,58991.0,58928.22046575415,阿尔巴尼亚
1/3/21,59438.0,59415.89852532376,阿尔巴尼亚
1/4/21,59623.0,59919.61519286148,阿尔巴尼亚
1/5/21,60283.0,60441.07903482984,阿尔巴尼亚
1/6/21,61008.0,60981.839846727205,阿尔巴尼亚
1/7/21,61705.0,61543.28865308777,阿尔巴尼亚
1/8/21,62378.0,62126.657707481514,阿尔巴尼亚
1/9/21,63033.0,62733.020492514275,阿尔巴尼亚
1/10/21,63595.0,63363.29171982767,阿尔巴尼亚
1/11/21,63971.0,64018.227330099166,阿尔巴尼亚
1/12/21,64627.0,64698.42449304203,阿尔巴尼亚
01/13/21,,65404.32160740536,阿尔巴尼亚
01/14/21,,66136.19830097407,阿尔巴尼亚
01/15/21,,66894.17543056884,阿尔巴尼亚
01/16/21,,67678.21508204628,阿尔巴尼亚
01/17/21,,68488.12057029872,阿尔巴尼亚
01/18/21,,69323.53643925436,阿尔巴尼亚
01/19/21,,70183.94846187717,阿尔巴尼亚
12/14/20,92597.0,92662.00282935934,阿尔及利亚
12/15/20,93065.0,93047.2278219914,阿尔及利亚
12/16/20,93507.0,93457.21587027493,阿尔及利亚
12/17/20,93933.0,93886.1396713113,阿尔及利亚
12/18/20,94371.0,94328.58514985382,阿尔及利亚
12/19/20,94781.0,94779.55145830766,阿尔及利亚
12/20/20,95203.0,95234.4509767299,阿尔及利亚
12/21/20,95659.0,95689.10931282953,阿尔及利亚
12/22/20,96069.0,96139.76530196746,阿尔及利亚
12/23/20,96549.0,96583.07100715647,阿尔及利亚
12/24/20,97007.0,97016.09171906124,阿尔及利亚
12/25/20,97441.0,97436.30595599838,阿尔及利亚
12/26/20,97857.0,97841.6054639364,阿尔及利亚
12/27/20,98249.0,98230.29521649567,阿尔及利亚
12/28/20,98631.0,98601.09341494851,阿尔及利亚
12/29/20,98988.0,98953.13148821912,阿尔及利亚
12/30/20,99311.0,99285.95409288359,阿尔及利亚
12/31/20,99610.0,99599.51911316995,阿尔及利亚
1/1/21,99897.0,99894.19766095809,阿尔及利亚
1/2/21,100159.0,100170.77407577983,阿尔及利亚
1/3/21,100408.0,100430.44592481887,阿尔及利亚
1/4/21,100645.0,100674.82400291081,阿尔及利亚
1/5/21,100873.0,100905.9323325432,阿尔及利亚
1/6/21,101120.0,101126.20816385544,阿尔及利亚
1/7/21,101382.0,101338.50197463884,阿尔及利亚
1/8/21,101657.0,101546.07747033662,阿尔及利亚
1/9/21,101913.0,101752.61158404392,阿尔及利亚
1/10/21,102144.0,101962.19447650774,阿尔及利亚
1/11/21,102369.0,102179.32953612701,阿尔及利亚
1/12/21,102641.0,102408.93337895256,阿尔及利亚
01/13/21,,102656.33584868711,阿尔及利亚
01/14/21,,102927.28001668533,阿尔及利亚
01/15/21,,103227.92218195369,阿尔及利亚
01/16/21,,103564.83187115066,阿尔及利亚
01/17/21,,103944.99183858655,阿尔及利亚
01/18/21,,104375.79806622364,阿尔及利亚
01/19/21,,104865.05976367602,阿尔及利亚
12/14/20,7382.0,7360.364633068312,安道尔
12/15/20,7382.0,7407.184703802312,安道尔
12/16/20,7446.0,7447.150543959228,安道尔
12/17/20,7466.0,7482.136536627252,安道尔
12/18/20,7519.0,7513.826412668238,安道尔
12/19/20,7560.0,7543.713250717705,安道尔
12/20/20,7577.0,7573.099477184834,安道尔
12/21/20,7602.0,7603.096866252472,安道尔
12/22/20,7633.0,7634.626539877131,安道尔
12/23/20,7669.0,7668.418967788986,安道尔
12/24/20,7699.0,7705.013967491876,安道尔
12/25/20,7756.0,7744.760704263305,安道尔
12/26/20,7806.0,7787.8176911544415,安道尔
12/27/20,7821.0,7834.1527889901145,安道尔
12/28/20,7875.0,7883.543206368822,安道尔
12/29/20,7919.0,7935.575499662724,安道尔
12/30/20,7983.0,7989.645573017644,安道尔
12/31/20,8049.0,8044.958678353072,安道尔
1/1/21,8117.0,8100.52941536216,安道尔
1/2/21,8166.0,8155.181731511725,安道尔
1/3/21,8192.0,8207.548922042248,安道尔
1/4/21,8249.0,8256.073629967874,安道尔
1/5/21,8308.0,8299.007846076413,安道尔
1/6/21,8348.0,8334.412908929336,安道尔
1/7/21,8348.0,8360.159504861784,安道尔
1/8/21,8489.0,8373.927667982558,安道尔
1/9/21,8586.0,8373.206780174121,安道尔
1/10/21,8586.0,8355.29557109261,安道尔
1/11/21,8586.0,8317.302118167812,安道尔
1/12/21,8682.0,8256.14384660319,安道尔
01/13/21,,8168.547529375868,安道尔
01/14/21,,8051.049287236631,安道尔
01/15/21,,7899.994588709927,安道尔
01/16/21,,7711.538250093875,安道尔
01/17/21,,7481.6444354602545,安道尔
01/18/21,,7206.0866566545055,安道尔
01/19/21,,6880.447773295739,安道尔
12/14/20,16277.0,16315.396109637937,安哥拉
12/15/20,16362.0,16347.60277041,安哥拉
12/16/20,16407.0,16394.593521188373,安哥拉
12/17/20,16484.0,16453.45934422085,安哥拉
12/18/20,16562.0,16521.541471455563,安哥拉
12/19/20,16626.0,16596.431384540952,安哥拉
12/20/20,16644.0,16675.9708148258,安哥拉
12/21/20,16686.0,16758.251743359197,安哥拉
12/22/20,16802.0,16841.616400890573,安哥拉
12/23/20,16931.0,16924.657267869676,安哥拉
12/24/20,17029.0,17006.217074446577,安哥拉
12/25/20,17099.0,17085.388800471675,安哥拉
12/26/20,17149.0,17161.5156754957,安哥拉
12/27/20,17240.0,17234.19117876969,安哥拉
12/28/20,17296.0,17303.259039245033,安哥拉
12/29/20,17371.0,17368.813235573412,安哥拉
12/30/20,17433.0,17431.19799610686,安哥拉
12/31/20,17553.0,17491.007798897725,安哥拉
1/1/21,17568.0,17549.087371698675,安哥拉
1/2/21,17608.0,17606.531691962715,安哥拉
1/3/21,17642.0,17664.685986843164,安哥拉
1/4/21,17684.0,17725.145733193673,安哥拉
1/5/21,17756.0,17789.756657568214,安哥拉
1/6/21,17864.0,17860.614736221083,安哥拉
1/7/21,17974.0,17940.06619510691,安哥拉
1/8/21,18066.0,18030.707509880634,安哥拉
1/9/21,18156.0,18135.385405897534,安哥拉
1/10/21,18193.0,18257.196858213207,安哥拉
1/11/21,18254.0,18399.48909158358,安哥拉
1/12/21,18343.0,18565.85958046489,安哥拉
01/13/21,,18760.15604901372,安哥拉
01/14/21,,18986.476471086964,安哥拉
01/15/21,,19249.16907024185,安哥拉
01/16/21,,19552.832319735913,安哥拉
01/17/21,,19902.31494252704,安哥拉
01/18/21,,20302.715911273423,安哥拉
01/19/21,,20759.384448333578,安哥拉
12/14/20,148.0,148.0489832007213,安提瓜和巴布达
12/15/20,148.0,149.0705570291927,安提瓜和巴布达
12/16/20,151.0,149.96406796603227,安提瓜和巴布达
12/17/20,151.0,150.749569620799,安提瓜和巴布达
12/18/20,152.0,151.44568834465318,安提瓜和巴布达
12/19/20,152.0,152.06962323035623,安提瓜和巴布达
12/20/20,153.0,152.63714611227078,安提瓜和巴布达
12/21/20,153.0,153.1626015663607,安提瓜和巴布达
12/22/20,153.0,153.65890691019106,安提瓜和巴布达
12/23/20,154.0,154.13755220292813,安提瓜和巴布达
12/24/20,154.0,154.60860024533935,安提瓜和巴布达
12/25/20,155.0,155.0806865797934,安提瓜和巴布达
12/26/20,155.0,155.56101949026018,安提瓜和巴布达
12/27/20,155.0,156.05538000231073,安提瓜和巴布达
12/28/20,158.0,156.56812188311736,安提瓜和巴布达
12/29/20,158.0,157.1021716414536,安提瓜和巴布达
12/30/20,158.0,157.65902852769406,安提瓜和巴布达
12/31/20,159.0,158.2387645338147,安提瓜和巴布达
1/1/21,159.0,158.84002439339264,安提瓜和巴布达
1/2/21,159.0,159.46002558160612,安提瓜和巴布达
1/3/21,160.0,160.09455831523474,安提瓜和巴布达
1/4/21,160.0,160.73798555265915,安提瓜和巴布达
1/5/21,160.0,161.3832429938613,安提瓜和巴布达
1/6/21,163.0,162.02183908042434,安提瓜和巴布达
1/7/21,163.0,162.6438549955326,安提瓜和巴布达
1/8/21,167.0,163.23794466397155,安提瓜和巴布达
1/9/21,169.0,163.791334752128,安提瓜和巴布达
1/10/21,176.0,164.2898246679899,安提瓜和巴布达
1/11/21,176.0,164.71778656114637,安提瓜和巴布达
1/12/21,176.0,165.05816532278777,安提瓜和巴布达
01/13/21,,165.2924785857057,安提瓜和巴布达
01/14/21,,165.4008167242929,安提瓜和巴布达
01/15/21,,165.36184285454334,安提瓜和巴布达
01/16/21,,165.15279283405215,安提瓜和巴布达
01/17/21,,164.74947526201578,安提瓜和巴布达
01/18/21,,164.12627147923183,安提瓜和巴布达
01/19/21,,163.25613556809898,安提瓜和巴布达
12/14/20,1503222.0,1503793.8426761688,阿根廷
12/15/20,1510203.0,1510596.7988506511,阿根廷
12/16/20,1517046.0,1517186.0481683011,阿根廷
12/17/20,1524372.0,1523603.68788329,阿根廷
12/18/20,1531374.0,1529891.237602249,阿根廷
12/19/20,1537169.0,1536089.6392842692,阿根廷
12/20/20,1541285.0,1542239.2572409017,阿根廷
12/21/20,1547138.0,1548379.8781361578,阿根廷
12/22/20,1555279.0,1554550.7109865088,阿根廷
12/23/20,1563865.0,1560790.3871608858,阿根廷
12/24/20,1563865.0,1567136.96038068,阿根廷
12/25/20,1574554.0,1573627.9067197426,阿根廷
12/26/20,1578267.0,1580300.1246043849,阿根廷
12/27/20,1583297.0,1587189.9348133781,阿根廷
12/28/20,1590513.0,1594333.0804779534,阿根廷
12/29/20,1602163.0,1601764.727081802,阿根廷
12/30/20,1613928.0,1609519.462461075,阿根廷
12/31/20,1625514.0,1617631.2968043839,阿根廷
1/1/21,1629594.0,1626133.6626527996,阿根廷
1/2/21,1634834.0,1635059.4148998535,阿根廷
1/3/21,1640718.0,1644440.830791537,阿根廷
1/4/21,1648940.0,1654309.609926301,阿根廷
1/5/21,1662730.0,1664696.8742550567,阿根廷
1/6/21,1676171.0,1675633.1680811758,阿根廷
1/7/21,1690006.0,1687148.458060489,阿根廷
1/8/21,1703352.0,1699272.1332012878,阿根廷
1/9/21,1714409.0,1712033.0048643234,阿根廷
1/10/21,1722217.0,1725459.306762807,阿根廷
1/11/21,1730921.0,1739578.6949624103,阿根廷
1/12/21,1744704.0,1754418.2478812637,阿根廷
01/13/21,,1770004.466289959,阿根廷
01/14/21,,1786363.2733115475,阿根廷
01/15/21,,1803520.0144215398,阿根廷
01/16/21,,1821499.457447908,阿根廷
01/17/21,,1840325.792571083,阿根廷
01/18/21,,1860022.632323956,阿根廷
01/19/21,,1880613.011591878,阿根廷
12/14/20,148682.0,148479.6931918709,亚美尼亚
12/15/20,149120.0,149458.39245506166,亚美尼亚
