国家名,日期,确诊病例,死亡病例,康复病例
阿富汗,1/22/20,0,0,0
阿富汗,1/23/20,0,0,0
阿富汗,1/24/20,0,0,0
阿富汗,1/25/20,0,0,0
阿富汗,1/26/20,0,0,0
阿富汗,1/27/20,0,0,0
阿富汗,1/28/20,0,0,0
阿富汗,1/29/20,0,0,0
阿富汗,1/30/20,0,0,0
阿富汗,1/31/20,0,0,0
阿富汗,2/1/20,0,0,0
阿富汗,2/2/20,0,0,0
阿富汗,2/3/20,0,0,0
阿富汗,2/4/20,0,0,0
阿富汗,2/5/20,0,0,0
阿富汗,2/6/20,0,0,0
阿富汗,2/7/20,0,0,0
阿富汗,2/8/20,0,0,0
阿富汗,2/9/20,0,0,0
阿富汗,2/10/20,0,0,0
阿富汗,2/11/20,0,0,0
阿富汗,2/12/20,0,0,0
阿富汗,2/13/20,0,0,0
阿富汗,2/14/20,0,0,0
阿富汗,2/15/20,0,0,0
阿富汗,2/16/20,0,0,0
阿富汗,2/17/20,0,0,0
阿富汗,2/18/20,0,0,0
阿富汗,2/19/20,0,0,0
阿富汗,2/20/20,0,0,0
阿富汗,2/21/20,0,0,0
阿富汗,2/22/20,0,0,0
阿富汗,2/23/20,0,0,0
阿富汗,2/24/20,1,0,0
阿富汗,2/25/20,1,0,0
阿富汗,2/26/20,1,0,0
阿富汗,2/27/20,1,0,0
阿富汗,2/28/20,1,0,0
阿富汗,2/29/20,1,0,0
阿富汗,3/1/20,1,0,0
阿富汗,3/2/20,1,0,0
阿富汗,3/3/20,2,0,0
阿富汗,3/4/20,4,0,0
阿富汗,3/5/20,4,0,0
阿富汗,3/6/20,4,0,0
阿富汗,3/7/20,4,0,0
阿富汗,3/8/20,5,0,0
阿富汗,3/9/20,7,0,0
阿富汗,3/10/20,8,0,0
阿富汗,3/11/20,11,0,0
阿富汗,3/12/20,12,0,0
阿富汗,3/13/20,13,0,0
阿富汗,3/14/20,15,0,0
阿富汗,3/15/20,16,0,0
阿富汗,3/16/20,18,0,1
阿富汗,3/17/20,20,0,1
阿富汗,3/18/20,24,0,1
阿富汗,3/19/20,25,0,1
阿富汗,3/20/20,29,0,1
阿富汗,3/21/20,30,0,1
阿富汗,3/22/20,34,1,1
阿富汗,3/23/20,41,1,1
阿富汗,3/24/20,43,1,1
阿富汗,3/25/20,76,2,2
阿富汗,3/26/20,80,3,2
阿富汗,3/27/20,91,3,2
阿富汗,3/28/20,107,4,2
阿富汗,3/29/20,118,4,2
阿富汗,3/30/20,146,4,2
阿富汗,3/31/20,175,4,5
阿富汗,4/1/20,197,4,5
