date,确诊病例,死亡病例,康复病例
2020-01-22,557,17,30
2020-01-23,655,18,32
2020-01-24,941,26,39
2020-01-25,1433,42,42
2020-01-26,2118,56,56
2020-01-27,2927,82,65
2020-01-28,5578,131,108
2020-01-29,6167,133,127
2020-01-30,8235,171,145
2020-01-31,9927,213,225
2020-02-01,12038,259,287
2020-02-02,16787,362,476
2020-02-03,19887,426,627
2020-02-04,23898,492,857
2020-02-05,27643,564,1129
2020-02-06,30803,634,1492
2020-02-07,34396,719,2016
2020-02-08,37130,806,2616
2020-02-09,40160,906,3245
2020-02-10,42769,1013,3947
2020-02-11,44811,1113,4684
2020-02-12,45229,1118,5151
2020-02-13,60382,1371,6294
2020-02-14,66909,1523,8057
2020-02-15,69052,1666,9396
2020-02-16,71235,1770,10866
2020-02-17,73270,1868,12583
2020-02-18,75152,2008,14352
2020-02-19,75652,2123,16121
2020-02-20,76212,2248,18179
2020-02-21,76841,2252,18892
2020-02-22,78602,2459,22889
2020-02-23,78982,2470,23394
2020-02-24,79546,2630,25227
2020-02-25,80399,2710,27905
2020-02-26,81376,2771,30386
2020-02-27,82736,2814,33278
2020-02-28,84122,2873,36710
2020-02-29,86013,2942,39781
2020-03-01,88394,2996,42717
2020-03-02,90377,3085,45601
2020-03-03,92971,3160,48227
2020-03-04,95279,3255,51169
2020-03-05,98090,3349,53795
2020-03-06,102003,3460,55863
2020-03-07,106098,3564,58357
2020-03-08,110047,3803,60694
2020-03-09,114219,3993,62493
2020-03-10,119041,4267,64400
2020-03-11,126702,4611,66998
2020-03-12,132492,4917,68321
2020-03-13,146876,5414,70248
2020-03-14,157950,5834,72620
2020-03-15,169219,6475,76031
2020-03-16,184027,7153,78086
2020-03-17,199970,7967,80830
2020-03-18,219535,8874,83317
2020-03-19,246584,9985,84958
2020-03-20,277359,11470,87403
2020-03-21,309350,13192,91650
2020-03-22,344205,14877,97867
2020-03-23,387040,16826,98335
2020-03-24,428219,19116,107974
2020-03-25,479220,21926,113753
2020-03-26,542097,24962,122125
2020-03-27,607138,28450,130910
2020-03-28,674418,32180,139421
2020-03-29,733655,35699,148877
2020-03-30,798949,39780,164214
2020-03-31,875794,44528,177804
2020-04-01,958586,50527,193076
2020-04-02,1041649,56414,210219
2020-04-03,1125200,62574,225641
2020-04-04,1183589,68490,246053
2020-04-05,1256181,73676,259889
2020-04-06,1329324,79614,276598
2020-04-07,1399153,87875,299860
2020-04-08,1482508,94681,328742
2020-04-09,1569527,102464,353996
2020-04-10,1655062,109842,375734
2020-04-11,1729373,116015,401984
2020-04-12,1849067,121873,421367
2020-04-13,1919799,127843,448624
2020-04-14,2003766,134812,473698
2020-04-15,2080914,143278,510237
2020-04-16,2176465,150537,541120
2020-04-17,2264462,158930,567304
2020-04-18,2341702,165082,591170
2020-04-19,2418307,170314,622953
2020-04-20,2494325,176188,645131
2020-04-21,2570074,183463,679933
2020-04-22,2651321,190319,710018
2020-04-23,2735570,197152,738748
2020-04-24,2819666,203920,788777
2020-04-25,2901924,209547,816532
2020-04-26,2973512,213526,845344
2020-04-27,3043704,218271,873228
2020-04-28,3119244,224852,906440
2020-04-29,3196354,231572,948517
2020-04-30,3279849,237415,1013633
2020-05-01,3368225,242562,1051790
2020-05-02,3447425,248058,1092441
2020-05-03,3523798,251567,1124974
2020-05-04,3601487,255778,1159060
2020-05-05,3681989,261605,1195533
2020-05-06,3772016,268107,1241652
2020-05-07,3860723,273413,1281177
2020-05-08,3951001,278963,1317590
2020-05-09,4036224,283187,1371031
2020-05-10,4111200,286744,1404840
2020-05-11,4187831,290231,1451725
2020-05-12,4272321,295716,1488767
