id,title,truth,content,sounce
1,年轻人和儿童感染几率非常小,没有感染的人都可能会感染,有专家提到，年轻人和儿童不易感染新型冠状病毒，但不易感染≠不会感染。<br>就目前的流行病学而言，儿童、年轻人对病毒不易感，但这并不意味着大家可以掉以轻心。<br>新型冠状病毒已经确定可以人传人，它的传播途径以呼吸道传播为主，像咳嗽、打喷嚏等均会传播病毒，在人流聚集的地方，一旦预防不到位，没有感染的人都可能会感染。<br>国家卫健委高级别专家组成员李兰娟也指出：“没有感染过这个疾病的人，都是易感的。” <br>无论男女老少，都要重视预防，尤其是老年人、孕妇、婴幼儿等免疫功能较差的群体，一旦感染，病情发展往往更快，更要注意保护自己。,央视新闻
2,饮用高度酒能抵抗新型冠状病毒,75%的酒精能够杀灭新型冠状病毒，但多喝酒并不能抵抗这个病毒,新型冠状病毒怕酒精，不耐高温，75%的酒精是能够杀灭这个病毒的。网上与之相关的话题——“饮高度酒对抗冠状病毒”也迅速蔓延。<br>李兰娟院士对此做出回应，酒精能用于消毒，但不代表多喝酒能消毒。而且医院用于消毒的是专门的医用酒精，并不是一般的高度酒。,央视新闻
3,喝板蓝根可以预防新型冠状病毒,板蓝根无法预防新型冠状病毒,最近，网上关于流传着这样的信息，称板蓝根可以预防新型冠状病毒，囤板蓝根的声音也多起来。<br>国家卫健委官方微博@健康中国表示：板蓝根适用于治疗风热感冒、病毒性感冒等热性疾病的治疗，但是对冠状病毒是不可能有效的。,央视新闻
4,熏醋可以杀死新型冠状病毒,熏醋根本达不到消毒的效果,醋酸是消毒剂乙酸的一种，一般是通过擦拭物品表面达到消毒的效果，有人就拿着熏醋来喷洒空气，以为可以杀死新型冠状病毒。<br>其实熏醋所含醋酸本身浓度就很低，根本达不到消毒的效果。<br>此外，使用熏醋副作用很明显，会加重室内空气污染，刺激呼吸道粘膜，尤其对呼吸道敏感、患有哮喘病的人来说，还可能引发呼吸系统疾病。,央视新闻
5,盐水漱口可以预防新型冠状病毒,新型冠状病毒侵犯的部位在呼吸道，盐水漱口没有办法清洁呼吸道,网络上有传言“钟南山院士建议盐水漱口防病毒”。 <br>对此，钟南山院士团队正式辟谣：<br>盐水漱口有利于清洁口腔和咽喉，对于咽喉炎有帮助。但是新型冠状病毒侵犯的部位在呼吸道，漱口没有办法清洁呼吸道。其次，目前尚无任何研究结果提示盐水对新型冠状病毒有杀灭作用。,央视新闻
6,服用VC可以预防新型冠状病毒,VC并不能预防新型冠状病毒,有研究表明，VC可以缩短普通感冒的病程，很多人就误以为 VC 可以抵抗流感。其实VC作为一种抗氧化剂，并不能阻止病毒感染，对新型冠状病毒也没有预防作用。<br>如今，有人为了安心大量地服用 VC，却不知过量摄入VC有副作用，会引发腹泻、结石等症状。正常人一天摄入VC100mg就足够，多吃无益。,央视新闻
7,没有疫情的地方，不需要戴口罩,无论有没有疫情，只要出门，就要戴口罩,戴口罩是预防新型冠状病毒的有效方式，无论你所在的区域是否已经有疫情，都要重视预防，出门一定要戴上口罩！！<br>建议大家优先选择医用外科口罩或者N95/KN95口罩，如果没有这几种口罩，普通口罩也可以作为应急使用，戴起来总比不戴好。,央视新闻
8,出门需要护目镜,普通人出门不需要佩戴护目镜 ,前两天，北大呼吸发哥的一条微博引发大家抢购护目镜，很多人以为出门除了带口罩，还要戴上护目镜。<br>后来?北大呼吸发哥也辟谣了，?需要注意眼睛防护的主要是一线的医护人员，普通人出门戴好口罩就能有效预防新型冠状病毒。,央视新闻
9,常用的抗病毒药可以治疗新型冠状病毒,针对这次新型冠状病毒肺炎，至今还没有研究出行之有效的抗病毒药物,有人说常用的抗病毒药物，比如“达菲”、“病毒灵”等能够预防、治疗新型冠状病毒，却不知这些传统的抗病毒药物并不能对付新型冠状病毒。<br>新型冠状病毒不同于以往出现的病毒，它是一种之前并未被人类发现的病毒，目前市面上的抗病毒药物对这次肺炎是无效的，并且相关的抗病毒药物还没有研制出来。,央视新闻
10,免洗洗手液清洁效果比水洗好,免洗手消毒液能杀死细菌，却不能有效杀死冠状病毒,伴随着这次疫情升温的，还有免洗手消毒液的热销。<br>免洗手消毒液的主要成分是氯己定，能杀死细菌，却不能有效杀死冠状病毒，生活君更建议大家使用洗手液+流水冲洗！<br>当然，如果是出门在外，不方便冲洗，携带一瓶免洗手消毒液还是有必要的。,央视新闻
11,可在朋友圈购买新冠肺炎疫苗,疫苗尚未上市，微商涉嫌违法,新冠肺炎疫苗还未上市，有人已在朋友圈开卖。近日，北京海淀区人民检察院办理了一起通过在网上散布售卖新冠肺炎疫苗虚假消息从而骗取钱财的案件。该案犯罪嫌疑人与其同伙在某网络平台散布虚假消息，虚构其有新冠肺炎疫苗现货，先后有多名受害者信以为真并支付了款项。<br>自新冠肺炎疫苗进入临床实验以来，相关的谣言和诈骗信息就未间断。不少微商“嗅”到商机，在朋友圈兜售所谓的“新冠肺炎疫苗”骗取钱财。可以肯定的是，微商在朋友圈里兜售疫苗是一种违法行为。<br>复旦大学附属华山医院感染科主任张文宏建议道，公众不用着急打新冠肺炎疫苗。“我们不要太过焦虑，等等再看一下，在研疫苗当中到底哪个最终有效。现在国内的防控模式、防控能力，在疫苗出来之前，是可以保障国内经济平稳、有序发展的。”他说。<br>同时，业内人士也指出，公众应该保持理性，不信谣、不传谣，从政府部门、官方媒体等权威来源获取信息；另一方面，有关部门也应对出现的谣言早处理、早澄清。,央视新闻
